Geracao;Iteracao_1;Iteracao_2;Iteracao_3;Iteracao_4;Iteracao_5;Iteracao_6;Iteracao_7;Iteracao_8;Iteracao_9;Iteracao_10;Iteracao_11;Iteracao_12;Iteracao_13;Iteracao_14;Iteracao_15;Iteracao_16;Iteracao_17;Iteracao_18;Iteracao_19;Iteracao_20;Iteracao_21;Iteracao_22;Iteracao_23;Iteracao_24;Iteracao_25;Iteracao_26;Iteracao_27;Iteracao_28;Iteracao_29;Iteracao_30
106;11470;12101;12602;12785;12117;13175;13022;12655;12972;11295;12207;12084;12927;12508;12897;12815;13742;13047;12353;12737;12310;13724;12723;13269;12662;13154;13621;12330;12995;11992
107;11470;12101;12602;12547;12117;13175;13022;12655;12972;11295;12207;12084;12927;12253;12897;12815;13742;12867;12353;12737;12180;13434;12723;13269;12662;13069;13499;12330;12980;11992
108;11470;12101;12602;12547;12117;13175;13022;12655;12972;11145;12207;12084;12927;12253;12897;12815;13742;12867;12353;12712;12180;13434;12573;13269;12662;13024;13499;12330;12980;11842
109;11338;12101;12602;12547;12112;12870;12877;12515;12972;11145;12207;12084;12927;12253;12897;12749;13742;12867;12353;12587;12180;13434;12573;13269;12662;13024;13499;12330;12548;11694
110;11338;12101;12602;12475;11962;12870;12877;12515;12972;11145;12107;12084;12712;12088;12897;12665;13742;12867;12353;12572;12180;13434;12573;13269;12662;12844;13499;12330;12468;11547
111;11338;12101;12437;12475;11962;12870;12877;12505;12972;11145;12024;12084;12707;12088;12897;12665;13714;12867;12353;12572;11865;13432;12573;13269;12512;12844;13494;12330;12468;11547
112;11338;12101;12307;12475;11962;12870;12617;12505;12972;11145;12024;11934;12462;12088;12897;12665;13714;12867;12353;12397;11865;13294;12573;13269;12252;12539;13494;12200;12468;11547
113;11332;11951;12307;12455;11962;12870;12617;12505;12972;11145;12024;11934;12462;12088;12897;12615;13714;12867;12353;12317;11865;13284;12573;13269;12252;12539;13494;12185;12468;11542
114;11332;11951;12307;12455;11567;12720;12617;12420;12972;11145;12024;11784;12462;12088;12897;12615;13714;12867;12353;12287;11715;13284;12573;13269;12252;12539;13494;12185;12468;11382
115;11332;11951;12305;12455;11567;12720;12422;12420;12972;11145;12024;11784;12462;12088;12897;12615;13604;12867;12353;12257;11715;13124;12573;13269;12252;12539;13486;12185;12468;11382
116;11332;11951;12157;12455;11567;12570;12422;12190;12822;11145;12024;11779;12462;12078;12897;12517;13604;12750;12353;12167;11565;13124;12573;13269;12252;12389;13486;12180;12450;11382
117;11038;11951;12142;12455;11417;12570;12422;12190;12822;11010;11902;11779;12462;12078;12897;12517;13574;12717;12353;12007;11415;13124;12573;13269;12252;12389;13449;12180;12450;11382
118;11038;11801;12142;12455;11417;12570;12422;12190;12672;11010;11902;11779;12462;12078;12897;12465;13439;12717;12353;12007;11415;13124;12573;13234;12227;12389;13449;12035;12450;11382
119;11038;11801;12142;12455;11417;12570;12422;12120;12672;10905;11902;11654;12462;12078;12897;12465;13439;12592;12353;12007;11415;13124;12573;13234;12227;12389;13289;12035;12450;11382
120;11038;11651;12142;12305;11417;12570;12422;12040;12672;10905;11902;11654;12462;11973;12897;12177;13424;12592;12353;12007;11415;13124;12423;12959;12227;12389;13289;12035;12300;11367
121;11038;11651;12142;12305;11417;12555;12422;12040;12672;10905;11902;11654;12462;11823;12897;12177;13274;12592;12219;12007;11287;13124;12423;12959;12102;12389;12754;12035;12230;11262
122;11038;11651;12142;12305;11417;12555;12422;12040;12672;10905;11900;11654;12462;11823;12897;12177;13274;12442;12053;12007;11265;13122;12318;12959;12102;12389;12754;12035;12230;11262
123;11038;11651;12142;12305;11417;12555;12362;11904;12672;10875;11900;11654;12462;11823;12887;12177;13074;12422;12053;11857;11265;13122;12318;12959;11927;12389;12754;12035;12230;11217
124;11038;11651;12142;12305;11417;12555;12362;11904;12522;10875;11900;11504;12462;11823;12887;12177;13074;12422;12053;11707;11265;13122;12133;12809;11802;12389;12754;11905;12150;11217
125;11030;11651;11997;12305;11392;12555;12362;11740;12522;10875;11717;11504;12318;11673;12887;12177;13074;11972;12053;11687;11265;13122;12133;12809;11802;12389;12754;11905;12150;11217
126;11030;11651;11997;12305;11367;12555;12362;11740;12522;10860;11717;11504;12167;11578;12732;12167;12874;11972;12053;11687;11265;12824;12133;12809;11802;12389;12749;11885;12000;11212
127;11030;11651;11992;12305;11242;12555;12362;11740;12522;10860;11717;11504;12167;11578;12732;12167;12874;11972;12053;11687;11115;12824;12133;12809;11668;12389;12749;11885;12000;11212
128;10880;11651;11992;12305;11242;12555;12362;11740;12522;10860;11717;11504;12007;11388;12732;12167;12874;11972;12053;11540;11115;12822;12133;12809;11652;12389;12749;11885;12000;11212
129;10880;11651;11707;12305;11117;12555;12323;11740;12522;10860;11717;11404;12007;11388;12587;12167;12874;11972;12053;11540;11115;12822;12123;12809;11522;12239;12594;11885;12000;11212
130;10880;11651;11707;12155;11092;12555;12323;11740;12410;10860;11717;11404;12007;11388;12587;12167;12869;11972;11903;11382;11115;12822;12123;12809;11518;12239;12594;11555;11850;11212
131;10880;11651;11542;12155;11092;12555;12323;11740;12372;10710;11715;11404;12007;11388;12577;12012;12869;11972;11903;11217;11115;12822;12123;12809;11352;12239;12594;11555;11850;11212
132;10880;11651;11392;12155;11092;12555;12317;11740;12105;10710;11567;11374;12007;11388;12552;12012;12854;11972;11769;11217;11115;12822;11978;12809;11352;12239;12594;11555;11825;11212
133;10880;11651;11392;12155;11092;12555;12317;11740;12105;10710;11567;11374;11842;11388;12552;12012;12854;11972;11769;11217;11115;12822;11978;12809;11352;12239;12479;11555;11825;11212
134;10880;11651;11392;12155;11092;12555;12317;11610;11970;10710;11567;11374;11842;11388;12552;12012;12854;11972;11769;11217;11095;12682;11848;12809;11352;12239;12479;11555;11550;11212
135;10880;11651;11392;12155;11092;12555;12167;11610;11970;10710;11567;11374;11842;11388;12552;12012;12554;11642;11769;11217;11095;12682;11848;12809;11352;12239;12479;11555;11550;11057
136;10862;11651;11392;12130;11092;12555;12167;11610;11830;10710;11567;11224;11697;11388;12552;12002;12554;11642;11769;11217;11095;12682;11698;12659;11352;12239;12479;11555;11550;11057
137;10862;11651;11392;12010;11092;12405;11867;11505;11830;10430;11567;11224;11692;11238;12127;11862;12554;11642;11769;11217;11095;12682;11698;12659;11352;12239;12434;11555;11400;11057
138;10862;11651;11392;11855;11092;12405;11717;11505;11830;10430;11567;11224;11692;11238;12127;11862;12554;11642;11619;11217;11095;12672;11698;12659;11352;12239;12434;11555;11385;11057
139;10730;11651;11377;11855;11092;12405;11717;11160;11830;10430;11567;11204;11607;11238;12127;11862;12554;11642;11619;11217;11095;12672;11698;12659;11352;12094;12434;11555;10920;10892
140;10712;11651;11377;11855;11092;12405;11717;11160;11830;10430;11567;11204;11562;11238;12127;11837;12554;11642;11619;11217;11095;12672;11698;12509;11352;12094;12434;11555;10920;10892
141;10712;11651;11377;11855;11092;12405;11717;11160;11830;10430;11567;11204;11562;11238;12127;11837;12554;11642;11469;11075;10953;12672;11698;12509;11352;12094;12434;11555;10920;10892
142;10562;11651;11377;11855;11092;12405;11717;11160;11830;10430;11567;11054;11562;11238;12127;11837;12554;11492;11469;11075;10945;12522;11698;12509;11352;12094;12434;11420;10920;10892
143;10562;11651;11377;11855;11092;12405;11717;11160;11830;10430;11567;11054;11562;11238;12127;11837;12554;11492;11469;11075;10945;12522;11698;12509;11352;12094;12299;11420;10920;10892
144;10562;11651;11377;11840;11092;12405;11717;11160;11830;10400;11417;11054;11452;11238;12127;11712;12554;11492;11469;10932;10945;12522;11698;12509;11202;12094;12299;11420;10920;10892
145;10562;11651;11257;11840;11092;12105;11558;11160;11830;10400;11417;11054;11452;11238;12127;11712;12554;11492;11469;10932;10945;12522;11698;12509;11202;12094;12299;11420;10920;10892
146;10562;11651;11257;11555;11092;12105;11552;11160;11830;10400;11417;11054;11412;11083;12127;11712;12554;11492;11469;10932;10795;12522;11698;12359;11202;12094;12164;11420;10920;10892
147;10562;11651;11257;11555;11092;12105;11552;11160;11830;10315;11417;11054;11407;11083;12127;11712;12434;11492;11469;10932;10795;12522;11698;12359;11072;12094;12164;11420;10920;10892
148;10562;11651;11248;11555;11092;12105;11552;11160;11830;10315;11392;11054;11407;11083;12127;11712;12434;11492;11469;10932;10795;12522;11698;12359;11072;12094;12164;11420;10920;10892
149;10424;11651;11248;11555;11092;12105;11552;11160;11830;10235;11392;11054;11397;11083;11977;11537;12434;11492;11469;10932;10795;12522;11698;12209;11072;12084;11994;11405;10920;10892
150;10424;11651;11248;11435;10977;12105;11552;11160;11830;10180;11392;11054;11397;11083;11977;11537;12434;11492;11469;10932;10795;12522;11698;12209;11072;12079;11994;11270;10920;10892
151;10424;11651;11248;11255;10977;12105;11552;11160;11830;10180;11392;11054;11257;11083;11977;11412;12434;11342;11329;10932;10795;12392;11698;12209;10922;12079;11994;11270;10920;10892
152;10424;11651;11248;11255;10977;12105;11552;11030;11830;10180;11392;10974;11257;11083;11892;11412;12434;11192;11329;10930;10655;12392;11698;12067;10922;12079;11994;11270;10920;10892
153;10424;11651;11248;11105;10802;12105;11552;10880;11830;9725;11392;10974;11107;11083;11827;11262;12434;11192;11319;10930;10655;12372;11698;12067;10902;12079;11854;11270;10920;10892
154;10397;11501;11248;11105;10802;12105;11552;10880;11830;9725;11392;10974;11107;11083;11802;11262;12434;11192;11319;10867;10635;12372;11698;12067;10902;12079;11854;11270;10790;10744
155;10274;11501;11248;11105;10802;11958;11552;10880;11830;9725;11392;10974;11107;11083;11677;11262;12434;11192;11319;10867;10380;12372;11673;12004;10902;12079;11854;11270;10790;10744
156;10274;11501;11248;11105;10802;11958;11552;10880;11830;9725;11387;10974;11107;11083;11527;11262;12434;11192;11079;10867;10380;12372;11548;12004;10902;12079;11854;11120;10790;10744
157;10274;11501;11248;11105;10782;11958;11552;10880;11830;9725;11387;10974;11092;11083;11527;11262;12284;11192;11079;10867;10380;12372;11548;12004;10902;12079;11709;11120;10790;10744
158;10262;11501;11248;10995;10607;11958;11382;10757;11830;9725;11387;10974;11092;11083;11527;11262;12284;11192;11079;10867;10380;12257;11548;12004;10902;12079;11709;11120;10780;10744
159;10262;11371;11248;10995;10607;11808;11382;10730;11830;9725;11377;10974;11092;11083;11447;11262;12284;11192;11079;10867;10380;12257;11518;11959;10902;12079;11709;11120;10780;10744
160;10262;11371;11083;10995;10607;11808;11382;10730;11830;9725;11377;10974;11092;10933;11447;11262;12284;11192;11074;10867;10380;12257;11456;11955;10902;12009;11709;11120;10645;10680
